meter,district,buildYear,rooms,price,elevator,space,parking,floor,averageDistrictValue,test
70,bagh-feyz,1384,1,6300000000,1,0,1,2,106018269.81879498,7421278887.315649
73,bagh-feyz,1402,1,7700000000,1,1,1,13,106018269.81879498,7739333696.772034
90,bagh-feyz,1388,2,7400000000,1,1,1,3,106018269.81879498,9541644283.691547
90,bagh-feyz,1390,2,10500000000,1,1,1,3,106018269.81879498,9541644283.691547
65,bagh-feyz,1383,1,6300000000,0,1,1,1,106018269.81879498,6891187538.221674
95,bagh-feyz,1392,2,10600000000,1,1,1,4,106018269.81879498,10071735632.785522
125,bagh-feyz,1395,3,13100000000,1,1,1,1,106018269.81879498,13252283727.349373
68,bagh-feyz,1388,2,7150000000,1,1,1,3,106018269.81879498,7209242347.678059
94,bagh-feyz,1390,2,11500000000,1,1,1,1,106018269.81879498,9965717362.966728
80,bagh-feyz,1385,2,8100000000,1,1,1,3,106018269.81879498,8481461585.503598
95,bagh-feyz,1395,2,8780000000,1,1,1,3,106018269.81879498,10071735632.785522
125,bagh-feyz,1389,3,12950000000,1,1,1,2,106018269.81879498,13252283727.349373
90,bagh-feyz,1400,2,10000000000,1,1,1,2,106018269.81879498,9541644283.691547
100,bagh-feyz,1400,2,12500000000,1,1,1,3,106018269.81879498,10601826981.879498
70,bagh-feyz,1389,2,6280000000,0,1,1,1,106018269.81879498,7421278887.315649
54,firoozabadi,1391,1,3100000000,1,0,0,1,63017089.938394554,3402922856.673306
76,firoozabadi,1391,1,4950000000,1,1,1,2,63017089.938394554,4789298835.3179865
45,firoozabadi,1385,1,2200000000,0,0,0,1,63017089.938394554,2835769047.227755
135,firoozabadi,1402,3,10500000000,1,1,0,1,63017089.938394554,8507307141.683265
76,firoozabadi,1376,2,2700000000,0,0,0,2,63017089.938394554,4789298835.3179865
88,bagh-feyz,1386,2,9600000000,1,1,1,3,106018269.81879498,9329607744.053959
48,firoozabadi,1394,1,3500000000,1,1,0,2,63017089.938394554,3024820317.0429387
61,firoozabadi,1380,2,3400000000,0,1,1,3,63017089.938394554,3844042486.242068
77,firoozabadi,1398,2,5236000000,1,1,0,3,63017089.938394554,4852315925.256381
100,firoozabadi,1403,2,7700000000,1,1,1,5,63017089.938394554,6301708993.839456
95,firoozabadi,1386,2,3700000000,0,0,1,4,63017089.938394554,5986623544.147483
50,firoozabadi,1403,1,4000000000,1,1,1,2,63017089.938394554,3150854496.919728
113,firoozabadi,1399,3,11000000000,1,1,1,2,63017089.938394554,7120931163.038585
70,firoozabadi,1390,2,4350000000,1,1,1,1,63017089.938394554,4411196295.687619
72,firoozabadi,1392,2,3980000000,0,0,1,2,63017089.938394554,4537230475.564408
46,firoozabadi,1386,1,2660000000,0,0,0,1,63017089.938394554,2898786137.1661496
93,firoozabadi,1385,2,4250000000,0,1,1,2,63017089.938394554,5860589364.270694
90,firoozabadi,1394,2,4550000000,1,0,1,3,63017089.938394554,5671538094.45551
101,shams-abad,1385,2,12200000000,1,1,1,1,110589657.13538708,11169555370.674095
101,shams-abad,1382,2,11950000000,1,1,1,1,110589657.13538708,11169555370.674095
60,shams-abad,1389,1,6800000000,1,1,1,2,110589657.13538708,6635379428.123224
88,shams-abad,1391,2,9000000000,1,1,1,4,110589657.13538708,9731889827.914062
96,shams-abad,1393,2,11500000000,1,1,1,3,110589657.13538708,10616607084.99716
81,shams-abad,1396,2,8150000000,1,1,1,2,110589657.13538708,8957762227.966352
140,shams-abad,1389,3,16560000000,1,1,1,5,110589657.13538708,15482551998.954191
66,shams-abad,1403,1,8400000000,1,1,1,5,110589657.13538708,7298917370.935547
86,shams-abad,1396,2,11350000000,1,1,1,1,110589657.13538708,9510710513.64329
62,shams-abad,1392,1,5900000000,1,1,1,4,110589657.13538708,6856558742.393999
118,shams-abad,1403,3,12760000000,1,1,1,5,110589657.13538708,13049579541.975676
52,shams-abad,1392,1,5080000000,1,1,1,3,110589657.13538708,5750662171.040128
92,shams-abad,1388,2,10700000000,1,1,1,3,110589657.13538708,10174248456.45561
149,shams-abad,1397,3,18650000000,1,1,1,2,110589657.13538708,16477858913.172674
88,shams-abad,1388,2,9200000000,1,1,1,2,110589657.13538708,9731889827.914062
107,shams-abad,1395,2,11050000000,1,1,1,5,110589657.13538708,11833093313.486418
64,shams-abad,1392,2,7500000000,1,1,1,4,110589657.13538708,7077738056.664773
145,shams-abad,1403,3,18100000000,1,1,1,1,110589657.13538708,16035500284.631126
110,vanak,1393,2,13800000000,1,1,1,2,157799501.22157013,17357945134.372715
145,vanak,1402,3,24000000000,1,1,1,1,157799501.22157013,22880927677.12767
250,vanak,1396,3,40000000000,1,1,1,3,157799501.22157013,39449875305.39253
93,vanak,1401,2,16500000000,1,1,1,3,157799501.22157013,14675353613.606022
191,vanak,1400,3,35000000000,1,1,1,4,157799501.22157013,30139704733.319897
280,vanak,1384,3,44000000000,1,1,1,9,157799501.22157013,44183860342.039635
175,vanak,1388,3,26450000000,1,1,1,4,157799501.22157013,27614912713.774773
68,vanak,1399,1,10900000000,1,1,1,4,157799501.22157013,10730366083.066769
500,vanak,1399,4,75000000000,1,1,1,4,157799501.22157013,78899750610.78506
100,vanak,1386,2,11900000000,1,1,1,4,157799501.22157013,15779950122.157013
200,vanak,1403,3,50000000000,1,1,1,3,157799501.22157013,31559900244.314026
